IP Address,Port
39.1.36.152,8080
72.205.210.107,23952
67.197.252.158,56903
216.239.174.156,45554
67.197.249.210,56075
67.197.252.239,56886
64.188.206.129,18699
58.59.68.91,1080
67.197.251.21,55756
5.189.165.154,8080
199.96.94.82,24068
186.205.233.28,37955
187.18.209.229,60202
67.197.252.147,56906
82.76.44.135,47449
83.147.153.66,13395
108.184.162.93,45554
103.47.125.4,45554
173.212.19.66,45554
68.234.191.89,45554
68.180.27.97,45554
83.216.97.90,62736
84.198.157.40,45554
175.136.208.88,47170
77.27.171.19,18602
201.6.119.145,16202
109.241.58.33,54797
37.191.199.220,45554
189.60.40.135,15222
75.110.238.124,45554
175.156.244.134,40072
69.146.186.148,65000
201.173.101.180,11716
66.135.130.178,45554
179.219.204.240,65000
63.140.19.149,45554
96.42.206.200,27092
74.84.3.197,45554
179.220.106.97,22624
66.118.89.166,45554
101.78.201.114,31114
74.126.133.24,45554
179.210.67.88,29015
23.28.22.88,35284
191.190.58.65,10128
90.225.119.102,59925
50.30.248.41,45554
191.191.134.217,47291
85.229.31.32,36183
186.204.47.41,15176
216.239.186.252,45554
177.239.224.29,53295
74.69.171.15,19852
71.10.172.31,45554
198.186.15.224,10200
179.216.53.174,10777
89.23.243.86,45554
67.82.194.228,17956
118.127.109.74,16965
189.29.134.149,47701
200.225.4.20,15981
216.212.241.128,45554
170.250.28.78,45554
191.181.36.72,16688
177.140.210.107,57914
95.68.77.60,54762
83.216.117.10,57664
179.105.188.55,36483
177.141.210.75,57883
131.191.98.244,45554
66.58.244.108,29124
59.37.163.176,1080
208.95.23.79,45554
191.182.56.38,11613
24.198.130.191,45554
78.88.84.242,39799
104.241.13.209,45554
189.218.47.227,15092
216.238.190.58,45554
73.137.44.148,45227
